planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
HIP 73990 b,21,,,HIP 73990,20,1.72,,0.015,7450
HIP 73990 c,22,,,HIP 73990,32,1.72,,0.015,7450
HIP 74865 b,28,,,HIP 74865,23,1.42,,0.015,6640
HIP 74890 b,2.4,,,HIP 74890,2.1,1.74,5.77,,4850
HIP 75056 b,35,2,2300,HIP 75056,22.5,,,,
HIP 75092 b,1.79,,,HIP 75092,2.02,1.28,4.53,,4891
HIP 77900 b,34,1.76,2400,HIP 77900,3200,,,,13700
HIP 78530 b,28,1.83,2679,HIP 78530,710,2.5,,0.011,10500
HIP 79098 (AB) b,20.5,,2450,HIP 79098 (AB),345,,,,
HIP 79431 b,2.1,,,HIP 79431,0.36,0.49,,,3191
HIP 79797 Ba,58,,,HIP 79797 A,350,1.76,,0.2,
HIP 79797 Bb,55,,,HIP 79797 A,350,1.76,,0.2,
HIP 81208 C b,14.8,,2050,HIP 81208 C,23.04,0.135,,,
HIP 8541 Ab,7.714,,,HIP 8541 A,3.729,1.17,7.83,,4670
HIP 8541 Ac,0.804,,,HIP 8541 A,0.923,1.17,7.83,,4670
HIP 86221 b,0.71,,,HIP 86221,0.031,0.79,,,
HIP 88399 b,6,,,HIP 88399,8,1.29,,0.024,
HIP 89474 b,0.0299,,,HIP 89474,0.1192,0.98,,,
HIP 90988 b,1.96,,,HIP 90988,1.26,1.3,3.94,,4884
HIP 91258 b,1.068,,,HIP 91258,0.057,0.95,,2.4,5519
HIP 94235 b,1.192,0.2862,1060,HIP 94235,0.0787,1.094,1.08,0.1,5991
HIP 948 b,20.6,,,HIP 948,15.037,0.71,0.688,,4497
HIP 96334 b,5,,,HIP 96334,5,1,,0.15,
HIP 97166 b,0.063,0.2444,757,HIP 97166,0.089,0.898,0.836,3.33,5198
HIP 97166 c,9.9,,642,HIP 97166,0.124,0.898,0.836,3.33,5198
HIP 97233 b,20,,,HIP 97233,2.55,1.93,5.34,,5020
HN Lib b,0.01749,,,HN Lib,0.1417,0.291,0.299,4.4,3347
HN Peg b,16,1.1,,HN Peg,795,1,,0.2,
HR 2562 b,10.28,,,HR 2562,21.2,1.3,,0.6,
HR 3549 b,45,,2350,HR 3549,80,,,0.125,10207
HR 5183 b,3.23,,110,HR 5183,18,1.07,1.53,7.7,5794
HR 858 b,,0.18601,1572,HR 858,0.048,1.145,1.31,,6201
HR 858 c,,0.17299,1326,HR 858,0.074,1.145,1.31,,6201
HR 858 d,,0.19306,1075,HR 858,0.1027,1.145,1.31,,6201
HR 8799 b,7,1.2,,HR 8799,68,1.56,1.5,0.06,
HR 8799 c,8.3,1.3,,HR 8799,42.9,1.56,1.5,0.06,
HR 8799 d,8.3,1.2,,HR 8799,27,1.56,1.5,0.06,
HR 8799 e,9.6,1.17,1150,HR 8799,16.4,1.56,1.5,0.06,
HS 0705+6700 (AB)b,27,,,HS 0705+6700 (AB),3.27,,,,
HS 0705+6700 (AB)c,11.8,,,HS 0705+6700 (AB),4.71,,,,
HS 2201+2610 b,3.2,,,HS 2201+2610,1.7,0.5,0.23,10,29300
HS Psc b,1.46,,,HS Psc,0.0435,0.69,0.65,0.133,4203
HW Vir (AB) b,39,1,,HW Vir (AB),4.69,0.627,,,
HW Vir (AB) c,40,2,,HW Vir (AB),12.8,0.627,,,
IC 4651 9122 b,6.3,,,IC 4651 9122,2.038,2,,,
IGR J17062-6143 b,17.27,0.4867,,IGR J17062-6143,0.002077,1.7,,,
IM Lup b,1,,,IM Lup,400,,,,
iot Cap b,3.48,,,iot Cap,1.771,2.89,10.67,0.39,5200
iot Cap c,7.485,,,iot Cap,5.067,2.89,10.67,0.39,5200
iot Dra b,16.4,,,iot Dra,1.448,1.4,12.8,,4445
iot Dra c,17,,,iot Dra,19.4,1.4,12.8,,4445
iot Hor b,2.26,,,iot Hor,0.925,1.11,1.85,3.6,5997
ISO 1I,,2.00E-06,,Sun,,1,1,,
ISO 2I,,6.20E-05,,Sun,,1,1,,
ISO-Oph176,60,,2800,ISO-Oph176,,,,,
ITG 15B,9,,,,,,,,
ITG 25B,18,,,,,,,,
J03443214+3206524,5.5,,1450,,,,,,
J03443777+3208289,3.5,,1450,,,,,,
J03444496+3208375,5.5,,1450,,,,,,
J1324+63,11.5,1.23,1080,,,,,,
K2-100 b,,0.32,1748,K2-100,0.0296,1.23,1.22,0.8,6168
K2-101 b,,0.178,,K2-101,,0.8,0.73,0.79,4819
K2-102 b,,0.116,,K2-102,,0.77,0.71,0.79,4695
K2-103 b,,0.177,,EPIC 211822797,0.131,0.66,0.57,0.8,4148.21
K2-104 b,,0.175,,K2-104,0.023,0.43,0.49,0.8,3546.46
K2-105 b,0.094,0.301,814,K2-105,0.0796,0.99,0.91,0.6,5464
K2-106 b,0.0245,0.14952,2299,K2-106,0.01314,0.97,0.98,5,5617
K2-106 c,0.018,0.2534,741,K2-106,0.1091,0.97,0.98,5,5617
K2-107 b,0.84,1.426,1649,K2-107,0.0475,1.3,1.81,4.25,6061
K2-108 b,0.187,0.476,1360,K2-108,0.0581,1.17,1.76,7.8,5599
K2-10 b,0.08495,0.343,,K2-10,,0.92,0.98,,5620
K2-110 b,0.0525,0.228,575,K2-110,0.1027,0.75,0.71,8,4950
K2-111 b,0.01664,0.162,1309,K2-111,0.057,0.84,1.25,12.3,5775
K2-111 c,0.0349,,,K2-111,0.1157,0.84,1.25,12.3,5775
K2-113 b,1.28,1.083,1098,K2-113,0.0642,1.04,1.24,5.9,5660
K2-114 b,1.85,0.952,661,K2-114,0.0954,0.89,0.84,9.9,5044
K2-115 b,0.84,1.115,,K2-115,0.1367,0.95,0.88,10.7,5657
K2-116 b,,0.062,,K2-116,0.048,0.69,0.67,,4348.35
K2-117 b,,0.181,868,K2-117,0.0189,0.54,0.51,,3778
K2-117 c,,0.184,537,K2-117,0.0492,0.54,0.51,,3778
K2-118 b,,0.227,,K2-118,0.245,0.76,0.73,,4726.29
K2-119 b,,0.226,666,K2-119,0.0698,0.76,0.71,,4740
K2-11 b,,0.674,734,K2-11,0.2257,1.35,5.15,,5433
K2-120 b,,0.179,,K2-120,0.078,0.69,0.67,,4349.9
K2-121 b,,0.669,723,K2-121,0.0525,0.72,0.68,,4551
K2-122 Ab,,0.108,814,K2-122 A,0.0285,0.62,0.6,,4027
K2-123 b,,0.246,338,K2-123,0.1649,0.62,0.59,,4035
K2-124 b,0.033,0.259,442,K2-124,0.049,0.39,0.39,,3570
K2-125 b,,0.194,,K2-125,0.121,0.49,0.4,,3654.47
K2-126 b,,0.176,601,K2-126,0.0656,0.69,0.65,,4339
K2-127 b,,0.747,809,K2-127,0.0411,0.72,0.66,,4575
K2-128 b,,0.127,,K2-128,0.056,0.71,0.78,,4469.51
K2-129 b,,0.093,,K2-129,0.057,0.36,0.36,,3459.09
K2-12 b,,0.208,1003,K2-12,0.0802,1.01,1.01,,5800
K2-130 b,,0.112,,K2-130,0.032,0.7,0.74,,4356.47
K2-131 b,,0.152,2062,K2-131,0.0095,0.84,0.75,,5245
K2-132 b,0.49,1.3,1586,K2-132,0.0916,1.08,3.85,8.5,4840
K2-133 b,0.0069,0.12,,K2-133,0.03194,0.46,0.46,,3655
K2-133 c,0.01,0.143,,K2-133,0.04341,0.46,0.46,,3655
K2-133 d,0.026,0.179,,K2-133,0.07487,0.46,0.46,,3655
K2-133 e,,0.154,296,K2-133,0.1346,0.46,0.46,,3655
K2-136 Ab,,0.088,553,K2-136 A,,0.742,0.677,0.65,4500
K2-136 Ac,,0.26,425,K2-136 A,,0.742,0.677,0.65,4500
K2-136 Ad,,0.129,373,K2-136 A,,0.742,0.677,0.65,4500
K2-137 b,0.5,0.079,1471,K2-137,0.0058,0.46,0.44,,3492
K2-138 b,0.0098,0.14,1308,K2-138,0.0338,0.93,0.86,,5378
K2-138 c,0.0198,0.225,1140,K2-138,0.04454,0.93,0.86,,5378
K2-138 d,0.0249,0.237,992,K2-138,0.05883,0.93,0.86,,5378
K2-138 e,0.0409,0.294,861,K2-138,0.07807,0.93,0.86,,5378
K2-138 f,0.005,0.251,745,K2-138,0.1043,0.93,0.86,,5378
K2-138 g,0.0135,0.2688,518,K2-138,0.231,0.93,0.86,,5378
K2-139 b,0.381,0.813,524,K2-139,0.1796,0.96,0.88,1.8,5370
K2-13 b,,0.169,511,K2-13,0.2114,0.8,0.78,0.78,5698
K2-140 b,0.93,1.093,957,K2-140,0.0687,1,0.99,9.8,5705
K2-141 b,0.01598,0.135,2039,K2-141 ,,0.708,0.681,6.3,4599
K2-141 c,0.02328,0.624,,K2-141 ,,0.708,0.681,6.3,4599
K2-146 b,0.01816,0.183,,K2-146,0.027,0.33,0.33,5,3385
K2-146 c,0.02358,0.195,,K2-146,0.034,0.33,0.33,5,3385
K2-147 b,,0.123,,K2-147,0.0159,0.58,0.55,,3672
K2-148 Ab,,0.119,,K2-148 A,0.0454,0.639,0.6739,,4081
K2-148 Ac,,0.154,,K2-148 A,0.0616,0.639,0.6739,,4081
K2-148 Ad,,0.146,,K2-148 A,0.0774,0.639,0.6739,,4081
K2-149 b,,0.146,,K2-149,0.083,0.59,0.57,,3745
K2-14 b,,0.429,488,K2-14,0.0627,0.47,0.45,,3789
K2-150 b,,0.178,,K2-150,0.0727,0.46,0.44,,3499
K2-151 b,,0.133,566,K2-151,0.0373,0.47,0.45,,3695
K2-152 b,,0.204,337,K2-152,0.1716,0.63,0.61,,4044
K2-153 b,,0.178,497,K2-153,0.0614,0.55,0.53,,3845
K2-154 b,,0.178,715,K2-154,0.0405,0.65,0.63,,4097
K2-154 c,,0.185,552,K2-154,0.0677,0.65,0.63,,4097
K2-155 b,0.0148,0.161,708,K2-155,0.0562,0.65,0.58,,4258
K2-155 c,0.0205,0.232,583,K2-155,0.0946,0.65,0.58,,4258
K2-155 d,0.0154,0.17,381,K2-155,0.1937,0.65,0.58,,4258
K2-156 b,,0.103,1347,K2-156,0.0149,0.66,0.66,,4597
K2-157 b,,0.094,,K2-157,,0.94,0.88,,5456
K2-158 b,,0.236,794,K2-158,0.0887,0.92,0.95,,5503
K2-158 c,,0.114,948,K2-158,0.0622,0.92,0.95,,5503
K2-159 b,,0.202,684,K2-159,0.1013,0.9,0.83,,5425
K2-15 b,,0.221,676,K2-15,0.091,0.72,0.68,,5131
K2-160 b,,0.284,,K2-160,,0.98,0.91,,5649
K2-161 b,,0.546,,K2-161,,0.99,2.57,8.51,4972
K2-162 b,,0.128,631,K2-162,0.0795,0.75,0.69,,4842
K2-163 b,,0.22,,K2-163,,0.83,0.76,,4937
K2-164 b,,0.29,,K2-164,,1.18,2.2,,5791
K2-165 b,,0.114,,K2-165,,0.83,0.8,,5185
K2-165 c,,0.139,,K2-165,,0.83,0.8,,5185
K2-165 d,,0.236,,K2-165,,0.83,0.8,,5185
K2-166 b,14,0.195,1140,K2-166,0.0858,1.07,,,
K2-166 c,6,0.109,,K2-166,,1.07,,,
K2-167 b,,0.2088,,K2-167,,1.02,1.83,,5908
K2-168 b,,0.166,766,K2-168,0.0979,0.88,0.83,,5502.7
K2-168 c,,0.117,961,K2-168,0.06231,0.88,0.83,,5502.7
K2-169 b,,0.114,,K2-169,,0.99,0.92,,5548
K2-16 b,,0.18,658,K2-16,0.0667,0.67,0.66,,4761
K2-16 c,,0.227,485,K2-16,0.1229,0.67,0.66,,4761
K2-16 d,,0.092,,K2-16,,0.67,0.66,,4761
K2-170 b,,0.127,,K2-170,,0.96,0.98,,5748
K2-170 c,,0.161,,K2-170,,0.96,0.98,,5748
K2-171 b,,0.24,,K2-171,,0.89,1.72,,5250
K2-172 b,,0.149,,K2-172,,0.93,0.87,,5569
K2-172 c,,0.286,,K2-172,,0.93,0.87,,5569
K2-173 b,,0.143,,K2-173,,0.88,0.84,,5580
K2-174 b,0.0289,0.232,455,K2-174,0.126,0.7,0.68,,4455
K2-175 b,,0.182,,K2-175,,1.09,1.42,,5909
K2-176 b,,0.133,,K2-176,,0.94,0.86,,5428
K2-177 b,,0.189,,K2-177,,1.21,1.21,,6063
K2-178 b,,0.317,,K2-178,,0.95,0.89,,5525
K2-179 b,,0.224,,K2-179,,0.82,0.77,,5015
K2-17 b,,0.199,487,K2-17,0.119,0.71,0.66,,4320
K2-180 b,0.036,0.206,731,K2-180,0.0753,0.72,0.72,9.5,5358
K2-181 b,,0.253,962,K2-181,0.0706,0.99,1.07,,5608
K2-182 b,0.063,0.24,969,K2-182,0.0526,0.88,0.8,,5165
K2-183 b,,0.232,,K2-183,,0.93,0.97,,5519
K2-183 c,,0.256,787,K2-183,0.0932,0.93,0.97,,5519
K2-183 d,,0.255,615,K2-183,0.1527,0.93,0.97,,5519
K2-184 b,,0.138,580,K2-184,0.1229,0.86,0.78,,5220
K2-185 b,,0.117,,K2-185,,0.96,0.94,,5788
K2-185 c,,0.2132,477,K2-185,0.2696,0.96,0.94,,5788
K2-186 b,,0.283,,K2-186,,1.02,0.98,,5784
K2-187 b,,0.116,1815,K2-187,0.0164,0.98,0.92,,5484
K2-187 c,,0.161,1173,K2-187,0.0392,0.98,0.92,,5484
K2-187 d,,0.283,865,K2-187,0.072,0.98,0.92,,5484
K2-187 e,,0.212,698,K2-187,0.1106,0.98,0.92,,5484
K2-188 b,,0.12,1692,K2-188,0.0289,1.06,1.19,,5977
K2-188 c,,0.252,1026,K2-188,0.0785,1.06,1.19,,5977
K2-189 b,,0.136,1197,K2-189,0.0361,0.94,0.87,,5519
K2-189 c,,0.223,872,K2-189,0.068,0.94,0.87,,5519
K2-18 b,0.02807,0.211,284,K2-18,0.1429,0.36,0.41,,3457
K2-18 c,0.02363,,363,K2-18,0.06,0.36,0.41,,3457
K2-190 b,,0.121,,K2-190,,0.9,0.91,,5631
K2-190 c,,0.098,,K2-190,,0.9,0.91,,5631
K2-191 b,,0.141,,K2-191,,0.9,0.84,,5176
K2-192 b,,0.136,939,K2-192,0.049,0.9,0.81,,5222
K2-193 b,,0.352,739,K2-193,0.1184,1.01,0.98,,5817
K2-194 b,,0.325,,K2-194,,1.11,1.28,,5979
K2-195 b,,0.279,720,K2-195,0.1208,0.94,0.99,,5713
K2-195 c,,0.23,,K2-195,,0.94,0.99,,5713
K2-196 b,,0.321,,K2-196,,1.16,1.54,,6045
K2-197 b,,0.228,848,K2-197,0.0806,1,0.93,,5667
K2-198 b,,0.374,716,K2-198,0.09083,0.8,0.76,,5212.9
K2-198 c,,0.127,1230,K2-198,0.03077,0.8,0.76,,5212.9
K2-198 d,,0.218,943,K2-198,0.05234,0.8,0.76,,5212.9
K2-199 b,0.0217,0.1543,913,K2-199,0.0382,0.73,0.68,,4648
K2-199 c,0.039,0.2543,694,K2-199,0.0662,0.73,0.68,,4648
K2-19 b,0.1019,0.691,854,K2-19,0.074,0.93,0.86,8,5430
K2-19 c,0.034,0.434,745,K2-19,0.0971,0.93,0.86,8,5430
K2-19 d,0.031,0.102,1252,K2-19,0.0344,0.93,0.86,8,5430
K2-200 b,,0.122,,K2-200,,0.86,0.79,,5233
K2-2016-BLG-0005L b,1.1,,,K2-2016-BLG-0005L,4.18,0.584,,,
K2-201 b,,0.125,,K2-201,,0.96,0.88,,5507
K2-201 c,,0.293,,K2-201,,0.96,0.88,,5507
K2-202 b,,0.205,,K2-202,,0.97,0.91,,5491
K2-203 b,,0.122,,K2-203,,0.79,0.76,,5000
K2-204 b,,0.272,,K2-204,,1.01,1.18,,5755
K2-205 b,,0.178,,K2-205,,0.95,1.08,,5890
K2-206 b,,0.249,,K2-206,,0.79,0.76,,5043
K2-207 b,,0.232,,K2-207,,0.94,0.93,,5522
K2-208 b,,0.15,,K2-208,,0.93,0.86,,5582
K2-209 b,,0.077,,K2-209,,0.74,0.71,,4720
K2-210 b,,0.073,,K2-210,,0.91,0.85,,5396
K2-211 b,,0.123,,K2-211,,0.88,0.82,,5221
K2-212 b,,0.2364,542,K2-212,0.0785,0.67,0.65,,4272
K2-213 b,,0.135,,K2-213,,1.07,1.2,,5794
K2-214 b,,0.217,1006,K2-214,0.0834,1.05,1.27,,5854
K2-215 b,,0.189,,K2-215,,1,0.97,,5704
K2-216 b,0.02517,0.156,1103,K2-216,0.028,0.7,0.72,,4503
K2-217 b,,0.319,,K2-217,,1.1,1.33,,5967
K2-218 b,,0.229,,K2-218,,1.05,1.01,,5757
K2-219 b,,0.12,,K2-219,,1.02,1.19,,5753
K2-219 c,,0.128,,K2-219,,1.02,1.19,,5753
K2-219 d,,0.23,,K2-219,,1.02,1.19,,5753
K2-21 b,0.00623,0.164,,K2-21,0.076,0.68,0.65,,4222.06
K2-21 c,0.01561,0.222,,K2-21,0.107,0.68,0.65,,4222.06
K2-220 b,,0.213,758,K2-220,0.1104,0.96,1.02,,5660
K2-221 b,,0.15,,K2-221,,1.01,0.95,,5716
K2-222 b,0.025,0.2097,878,K2-222,0.1211,1,1.09,,6058
K2-223 b,,0.079,2271,K2-223,0.0127,1.06,0.99,,5835
K2-223 c,,0.14,1091,K2-223,0.0549,1.06,0.99,,5835
K2-224 b,,0.139,1002,K2-224,0.0516,0.91,0.84,,5620
K2-224 c,,0.215,764,K2-224,0.0886,0.91,0.84,,5620
K2-225 b,,0.311,902,K2-225,0.134,1.27,1.7,,5742
K2-226 b,,0.137,1120,K2-226,0.0413,0.88,0.91,,5424
K2-227 b,,0.149,,K2-227,,0.95,0.89,,5673
K2-228 b,,0.108,914,K2-228,0.0338,0.71,0.65,,4715
K2-229 b,0.00815,0.102,1818,K2-229,0.0131,0.87,0.79,5.4,5315
K2-229 c,0.067,0.181,750,K2-229,0.0769,0.87,0.79,5.4,5315
K2-229 d,0.079,0.2364,522,K2-229,0.182,0.87,0.79,5.4,5315
K2-22 b,1.4,0.223,2100,K2-22,0.0088,0.6,0.57,,3830
K2-230 b,,0.175,1529,K2-230,0.0409,1.11,1.39,,5945
K2-231 b,0.0227,0.223,,K2-231,,1.01,0.95,3,5695
K2-232 Ab,0.398,1,1030,K2-232 A,0.10356,1.19,1.16,1.43,6154
K2-233 b,0.0104,0.125,1040,K2-233,0.03317,0.8,0.74,0.36,4950
K2-233 c,,0.119,728,K2-233,0.06687,0.8,0.74,0.36,4950
K2-233 d,0.0261,0.236,482,K2-233,0.1527,0.8,0.74,0.36,4950
K2-236 b,0.085,0.514,817,K2-236,0.1493,1.17,1.39,3.99,6069
K2-237 b,1.236,1.642,1838,K2-237,0.0353,1.23,1.38,,6099
K2-238 b,0.86,1.3,1587,K2-238,0.046,1.19,1.59,5.63,5630
K2-239 b,0.0044,0.098,502,K2-239,0.0441,0.4,0.36,,3420
K2-239 c,0.0028,0.089,427,K2-239,0.0576,0.4,0.36,,3420
K2-239 d,0.0041,0.098,399,K2-239,0.0685,0.4,0.36,,3420
K2-240 b,0.0157,0.178,586,K2-240,0.0513,0.58,0.54,,3810
K2-240 c,0.0145,0.161,389,K2-240,0.1159,0.58,0.54,,3810
K2-241 b,,0.227,507,K2-241,0.1567,0.71,0.75,,5262
K2-242 b,,0.227,416,K2-242,0.0494,0.38,0.37,,3459
K2-243 b,,0.194,1035,K2-243,0.1087,1.29,1.39,,6570
K2-243 c,,0.179,801,K2-243,0.1817,1.29,1.39,,6570
K2-244 b,,0.156,638,K2-244,0.1418,0.86,0.92,,5677
K2-245 b,,0.387,923,K2-245,0.0959,0.83,1.25,,5793
K2-246 b,,0.311,977,K2-246,0.0602,0.87,0.94,,5610
K2-247 b,,0.189,979,K2-247,0.0304,0.74,0.69,,4667
K2-247 c,,0.195,688,K2-247,0.0615,0.74,0.69,,4667
K2-248 b,,0.229,886,K2-248,0.0699,0.88,0.92,,5528
K2-249 b,,0.249,1061,K2-249,0.1151,1.32,1.57,,6504
K2-24 b,0.05978,0.482,709,K2-24,0.154,1.07,1.16,5,5625
K2-24 c,0.04845,0.669,560,K2-24,0.247,1.07,1.16,5,5625
K2-250 b,,0.218,958,K2-250,0.0459,0.8,0.81,,5172
K2-251 b,,0.21,437,K2-251,0.0694,0.52,0.49,,3717
K2-252 b,,0.155,639,K2-252,0.1041,0.79,0.82,,5152
K2-253 b,,1.13,1238,K2-253,0.0506,1.08,1.1,,6027
K2-254 b,,0.145,791,K2-254,0.0448,0.71,0.67,,4629
K2-254 c,,0.195,551,K2-254,0.0923,0.71,0.67,,4629
K2-255 b,,0.259,1034,K2-255,0.0274,0.71,0.69,,4676
K2-257 b,,0.074,789,K2-257,0.0216,0.52,0.5,,3725
K2-258 b,,0.268,831,K2-258,0.149,1.21,1.31,,6351
K2-259 b,,0.207,795,K2-259,0.1271,1.14,1.13,,6059
K2-25 b,0.0771,0.306,345.7,K2-25,,0.29,0.29,,3180
K2-260 Ab,1.42,1.552,1957,K2-260 A,0.0404,1.39,1.69,1.9,6367
K2-261 b,0.223,0.85,1080,K2-261,0.102,1.1,1.65,8.8,5537
K2-263 b,0.0466,0.215,,K2-263,0.2573,0.88,0.85,7,5368
K2-264 b,,0.199,496,K2-264,0.05023,0.5,0.47,,3660
K2-264 c,,0.238,331,K2-264,0.11283,0.5,0.47,,3660
K2-265 Ab,0.02058,0.153,,K2-265 A,0.03376,0.92,0.98,9.7,5477
K2-266 Ab,0.0355,0.294,1515,K2-266 A,0.01306,0.68,0.7337,8.4,4362
K2-266 Ac,0.00091,0.063,665,K2-266 A,0.0679,0.68,0.7337,8.4,4362
K2-266 Ad,0.028,0.261,538,K2-266 A,0.1035,0.68,0.7337,8.4,4362
K2-266 Ae,0.04499,0.244,490,K2-266 A,0.1249,0.68,0.7337,8.4,4362
K2-267 Ab,3,1.051,,K2-267 A,0.07229,1.324,1.624,3.09,6189
K2-268 b,,0.126,1121,K2-268,0.0308,0.84,0.78,,5068
K2-268 c,,0.24,688,K2-268,0.0819,0.84,0.78,,5068
K2-268 d,,0.1329,888,K2-268,,0.84,0.78,,5068
K2-268 e,,0.1187,801,K2-268,,0.84,0.78,,5068
K2-268 f,,0.1989,492,K2-268,,0.84,0.78,,5068
K2-269 b,,0.14,1429,K2-269,0.0531,1.16,1.45,,6209
K2-26 b,,0.238,430,K2-26,0.0962,0.56,0.52,1,3785
K2-270 b,,0.123,1203,K2-270,0.0247,0.85,0.77,,4877
K2-270 c,,0.263,848,K2-270,0.0497,0.85,0.77,,4877
K2-271 b,,0.649,893,K2-271,0.077,0.83,0.99,,5644
K2-272 b,,0.26,655,K2-272,0.1081,0.81,0.81,,5419
K2-273 b,,0.394,672,K2-273,0.0974,0.9,0.84,,5200
K2-274 b,,0.196,589,K2-274,0.1064,0.81,0.74,,5065
K2-275 b,,0.2,905,K2-275,0.04,0.79,0.73,,4812
K2-275 c,,0.209,660,K2-275,0.075,0.79,0.73,,4812
K2-276 b,,0.336,583,K2-276,0.1291,0.82,0.85,,5139
K2-277 b,,0.185,958,K2-277,0.0675,1.02,0.97,,5741
K2-278 b,,0.266,1711,K2-278,0.0488,1.4,1.61,,6747
K2-279 b,,0.108,879,K2-279,0.067,0.79,0.86,,5558
K2-27 Bb,0.09722,0.4,902,K2-27 B,0.06702,0.89,0.8925,10.3,5231
K2-280 b,0.1167,0.684,744,K2-280,0.1488,1.11,1.28,8.96,5742
K2-281 b,,0.73,665,K2-281,0.0773,0.82,0.76,,4812
K2-282 b,,0.252,1057,K2-282,0.0499,0.94,,,
K2-282 c,,0.132,,K2-282,,0.94,,,
K2-283 b,,0.314,1186,K2-283,0.0291,0.89,0.82,,5060
K2-284 b,,0.248,653,K2-284,0.04771,0.63,0.61,0.12,4140
K2-285 b,0.03046,0.231,1089,K2-285,0.03817,0.83,0.79,,4975
K2-285 c,0.04933,0.315,741,K2-285,0.0824,0.83,0.79,,4975
K2-285 d,0.02045,0.221,620,K2-285,0.1178,0.83,0.79,,4975
K2-285 e,0.03367,0.174,501,K2-285,0.18041,0.83,0.79,,4975
K2-286 b,0.0214,0.187,347,K2-286,0.1768,0.64,0.62,,3926
K2-287 b,0.315,0.847,804,K2-287,0.1206,1.06,1.07,4.5,5695
K2-288 Bb,,0.152,226.36,K2-288 B,0.164,0.33,0.32,1,3341
K2-289 b,0.1529,0.812,753,K2-289,0.107,0.95,1.02,,5529
K2-28 b,,0.207,568,K2-28,0.0214,0.26,0.29,,3214
K2-290 Ab,0.0343,0.273,1230,K2-290 A,0.0923,1.19,1.51,4,6302
K2-290 Ac,0.774,1.006,676,K2-290 A,0.305,1.19,1.51,4,6302
K2-291 b,0.02042,0.142,,K2-291,0.03261,0.93,0.9,3.72,5520
K2-292 b,0.07709,0.235,795,K2-292,0.13,1,1.09,6.8,5725
K2-293 b,,0.219,750,K2-293,0.1,0.96,0.95,,5532
K2-294 b,,0.148,1425,K2-294,0.036,0.99,1.2,,5612
K2-295 b,0.335,0.897,852,K2-295,0.0451,0.74,0.7,,4444
K2-296 b,,0.167,,K2-296,,0.41,,,
K2-297 b,,0.062,,K2-297,,0.78,,,
K2-298 b,,0.093,,K2-298,0.035,0.8,0.63,,5053
K2-299 b,,0.152,,K2-299,,0.93,0.847,,5759
K2-299 c,,0.125,,K2-299,0.01859,0.93,0.847,,5759
K2-299 d,,0.232,,K2-299,0.11837,0.93,0.847,,5759
K2-29 Ab,0.73,1.19,1171,K2-29 A,0.04217,0.935,0.817,2.6,5387.06
K2-300 b,,0.09,,K2-300,,0.361,0.3734,,3489
K2-301 b,,0.145,,K2-301,,0.63,0.6737,,4055
K2-301 c,,0.107,,K2-301,0.00841,0.63,0.6737,,4055
K2-302 b,,0.08,,K2-302,,0.221,0.25,,3467
K2-303 b,,0.086,,EPIC 206317286,,0.71,,,
K2-303 c,,0.18682,,EPIC 206317286,,0.71,,,
K2-304 b,,0.118,,K2-304,,0.83,0.8,,5171
K2-304 c,,0.2025,866,K2-304,0.0553,0.83,0.8,,5171
K2-305 b,,0.194,,K2-305,,1.08,1.218,,5915
K2-306 b,,0.143,,K2-306,,0.85,0.752,,5079
K2-307 b,,0.1,,K2-307,,0.99,0.98,,6004
K2-307 c,,0.207,648,K2-307,0.15886,0.99,0.98,,6004
K2-308 b,0.025,0.884,,K2-308,,1.09,1.24,,6100
K2-309 b,0.076,0.68,760,K2-309,0.1716,1.1,1.305,0.023,4970
K2-309 c,0.0623,0.4675,979,K2-309,0.0839,1.1,1.305,0.023,4970
K2-309 d,0.113,0.5656,855,K2-309,0.1101,1.1,1.305,0.023,4970
K2-309 e,0.66,0.848,549,K2-309,0.2667,1.1,1.305,0.023,4970
K2-30 b,0.579,1.039,1092,K2-30,0.04839,0.9,0.84,3.9,5425
K2-310 b,0.02907,0.231,536,K2-310,0.098,0.69,0.673,,4581
K2-310 c,0.0303,0.24,316,K2-310,0.28,0.69,0.673,,4581
K2-311 b,,1.11,,K2-311,4.5,0.9,2.7,,4898
K2-314 b,0.02753,0.174,1616,EPIC 249893012,0.047,1.05,1.71,9,5430
K2-314 c,0.04616,0.3274,990,EPIC 249893012,0.13,1.05,1.71,9,5430
K2-314 d,0.03203,0.3515,752,EPIC 249893012,0.22,1.05,1.71,9,5430
K2-315 b,,0.085,460,K2-315,0.0234,0.17,0.2,1,3300
K2-316 b,,0.119,841,K2-316,0.0147,0.41,0.38,,3436
K2-316 c,,0.163,423,K2-316,0.0582,0.41,0.38,,3436
K2-317 b,,0.261,432,K2-317,0.0542,0.4,0.38,,3387
K2-318 b,,0.148,456,K2-318,0.0911,0.56,0.55,,3851
K2-319 b,,0.249,641,K2-319,0.1516,0.95,0.9,,5440
K2-31 Ab,1.774,1.06,,K2-31 A,0.022,0.922,1.029,,5340
K2-320 b,,0.234,698,K2-320,0.0142,0.12,0.3,,3157
K2-321 b,,0.174,701,K2-321,0.041,0.6,0.58,,3855
K2-322 b,,0.171,635,K2-322,0.0594,0.63,0.6,,4141
